Territory,Level,District,Population,Income_per_capita,Salaries,Loans_vol,Loans_num,Debt_vol,Housing_completions,Primary_price,Secondary_price,Migration,Retail_per_capita,Retail
Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу,5,УФО,1518695,30331,44906,10302,4508,15080,1348.4,54756.10,49150.35,15683,254370,383777.9
Челябинская область,3,УФО,3475753,25033,36471,10935,5367,14379,1524.4,41713.90,35204.59,-8953,148838,518609.5
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,17173335,25832,40559,71477,31490,113935,6649.0,51936.64,50437.04,-28966,159223,2738913.7
Республика Алтай,3,СФО,218866,19616,32500,269,121,413,108.3,44997.64,43716.16,-343,118964,25989.4
Республика Тыва,3,СФО,983273,14776,43127,369,127,586,93.1,,60569.28,-980,73214,23653.4
Республика Хакасия,3,СФО,324423,22286,40074,1484,707,2334,188.2,43435.58,44084.72,-896,156273,83893.5
Алтайский край,3,СФО,536167,23365,27886,8021,4322,11684,786.1,47102.58,46868.43,-7411,150444,352257.4
Красноярский край,3,СФО,2332813,29807,48445,16720,7062,29490,1148.5,56825.18,48102.79,-278,187102,537966.9
Иркутская область,3,СФО,1065785,23897,45892,8436,3739,13732,987.5,58441.66,46476.89,-5910,144951,348024.9
Кемеровская область - Кузбасс,3,СФО,2874026,23134,41184,8659,4115,12763,639.8,48415.37,41226.93,-8413,140292,376622
Новосибирская область,3,СФО,2397763,29208,38237,20149,8643,32093,1738.4,56312.96,56796.27,8030,179643,501403.3
Омская область,3,СФО,2674256,26555,35616,5257,1952,7663,522.3,42067.30,43376.53,-12102,169335,330565.4
Томская область,3,СФО,2793384,27879,42354,2112,702,3177,436.9,57221.39,48618.81,-663,147085,158537.5
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,1944195,36893,55651,38948,13506,66630,2269.4,71456.82,73818.36,-33145,212494,1743640.1
Республика Бурятия,3,ДФО,1077442,24892,39985,2516,1128,4332,247.8,46177.18,50984.91,-4577,180022,177121.9
Республика Саха (Якутия),3,ДФО,8188623,42832,71688,9764,3262,20430,530.1,80192.67,80730.15,-2940,236872,228740.2
Забайкальский край,3,ДФО,967009,24792,44399,2903,1124,4269,186.5,60434.01,53515.88,-7421,154257,164946.5
Камчатский край,3,ДФО,314723,51653,74842,2135,744,3361,35.5,66721.41,63723.35,-702,181491,57195.1
Приморский край,3,ДФО,1902718,35911,45372,7955,2685,11911,538.2,90049.46,97552.46,-4654,212958,406297.1
Хабаровский край,3,ДФО,1321473,40429,48887,5651,1941,9676,273.8,69049.70,70606.06,-4931,244591,324055.1
Амурская область,3,ДФО,793194,33305,48057,2099,765,3196,158.7,60594.71,61662.80,-3392,214688,170850.7
Магаданская область,3,ДФО,141234,65037,106395,1586,504,2476,4.3,,46784.85,-2663,226312,32286.4
Сахалинская область,3,ДФО,489638,57347,84666,3638,1122,5791,264.8,105876.66,107512.97,-324,303112,148497.4
Еврейская автономная область,3,ДФО,159913,24250,41528,203,78,367,27.8,40492.13,38202.83,-1778,149572,24075.7
Чукотский автономный округ,3,ДФО,49663,84927,106922,498,153,821,1.8,,,237,193391,9573.8
